quarter_published,event_date,area,enterprise,enterprise_raw,forestry,forest_quarter,section,allotment_area,subdivision_area,subdivision_area_for_operation,composition,pine_share,age,completeness,bonitet,avg_height,avg_diameter,stock,cut_stock,cut_share,security_category,event_type,severity_ordinal,reason_raw,reason_biotic,reason_abiotic,reason_fire,reason_unclassified,repaired
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,33,1,18.5,7.2,7.2,10ДЗ+ГЗ+ЧШ,0,20,0.7,2,27,40,350,20,0.0571,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, омела, вусачі, златки",1,0,0,0,allotment_area|subdivision_area|subdivision_area_for_operation
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,41,8,4.6,,,4КЛГ3ДЗ3ЛПД+ГЗ+ЯЗ,0,50,0.8,1,20,26,220,15,0.0682,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, омела, вусачі, златки",1,0,0,0,allotment_area
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,42,1,15.9,,,9ДЗ1КЛГ,0,84,0.7,2,24,28,310,20,0.0645,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, омела, вусачі, златки",1,0,0,0,allotment_area
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,52,9,0.5,,,6ЯЗ2ДЗ1ЛПД1ГЗ,0,65,0.8,1,26,32,310,20,0.0645,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, бактеріальний рак ясена, омела, вусачі, златки, ясеневі лубоїди",1,0,0,0,
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,60,10,3.8,,,9ДЗ1ГЗ+ЛПД,0,120,0.8,2,29,48,375,20,0.0533,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, омела, вусачі, златки",1,0,0,0,allotment_area
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,65,6,7.4,3.9,3.9,9ДЗ1ГЗ,0,100,0.7,2,24,32,290,20,0.069,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, омела, вусачі, златки",1,0,0,0,allotment_area|subdivision_area|subdivision_area_for_operation
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,66,1,14.7,5.5,5.5,9ДЗ1ГЗ,0,100,0.7,2,25,32,295,20,0.0678,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, омела, вусачі, златки",1,0,0,0,allotment_area|subdivision_area|subdivision_area_for_operation
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,69,5,6.6,,,7ДЗ2КЛГ1ЯЗ+ГЗ,0,76,0.9,1,24,28,380,20,0.0526,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, бактеріальний рак ясена, омела, вусачі, златки, ясеневі лубоїди",1,0,0,0,allotment_area
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,70,3,18.4,,,6ДЗ2ЯЗ1ГЗ1ЛПД,0,60,0.8,1,22,24,290,20,0.069,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, бактеріальний рак ясена, омела, вусачі, златки, ясеневі лубоїди",1,0,0,0,allotment_area
2024-Q1,2024-01-12,Черкаська,звенигородське лісгосп дп ліси україни,"філія ""Звенигородське лісове господарство"" ДП ""Ліси України""",Пехівське,73,9,1.9,,,9ЯЗ1ДЗ+ЛПД+ГЗ,0,65,0.7,1Б,28,30,350,20,0.0571,експлуатаційні ліси,ВСР,1,"поперечний рак дуба, трутовики, східчастий рак листяних порід, бактеріальний рак ясена, омела, вусачі, златки, ясеневі лубоїди",1,0,0,0,allotment_area
